run_id,scenario,mode,file_size,pcap_path,pkts_on_wire,bytes_on_wire,start_ts,end_ts,duration_s,throughput_mbps_on_wire
1,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_1.pcap,28,2174,1782289294.502864,1782289294.671166,0.168302,0.103338
2,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_2.pcap,28,2174,1782289299.221855,1782289299.341652,0.119797,0.145179
3,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_3.pcap,28,2174,1782289303.967752,1782289304.088734,0.120982,0.143757
4,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_4.pcap,29,2246,1782289308.612094,1782289308.717223,0.105129,0.170914
5,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_5.pcap,28,2174,1782289313.279058,1782289313.403067,0.124009,0.140248
6,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_6.pcap,28,2174,1782289317.916406,1782289318.040131,0.123725,0.14057
7,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_7.pcap,28,2174,1782289322.605276,1782289322.719185,0.113909,0.152683
8,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_8.pcap,28,2174,1782289327.257210,1782289327.375508,0.118298,0.147018
9,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_9.pcap,28,2174,1782289331.948378,1782289332.070802,0.122424,0.142064
10,A,tcp,100k,results/pcaps/tcp/100k/A/capture_A_tcp_100k_10.pcap,28,2174,1782289336.573510,1782289336.682035,0.108525,0.160258
11,B,tcp,100k,results/pcaps/tcp/100k/B/capture_B_tcp_100k_11.pcap,28,2198,1782289343.211094,1782289344.037175,0.826081,0.021286
12,B,tcp,100k,results/pcaps/tcp/100k/B/capture_B_tcp_100k_12.pcap,4,446,1782289348.638091,1782289348.794289,0.156198,0.022843
13,B,tcp,100k,results/pcaps/tcp/100k/B/capture_B_tcp_100k_13.pcap,42,3302,1782289353.616986,1782289354.812483,1.195497,0.022096
14,B,tcp,100k,results/pcaps/tcp/100k/B/capture_B_tcp_100k_14.pcap,4,446,1782289359.343257,1782289359.499509,0.156252,0.022835
15,B,tcp,100k,results/pcaps/tcp/100k/B/capture_B_tcp_100k_15.pcap,4,446,1782289364.239429,1782289364.393379,0.15395,0.023176
